FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1011109,Apex Farmers Market,http://www.apexfarmersmarket.com,https://www.facebook.com/apexfarmersmarket,,,,220 N. Salem St. ,Apex ,Wake,North Carolina,27502,04/18/2015 to 10/17/2015,Sat: 8:30 AM-12:30 PM;,,,,,,,-78.849899,35.7320152,,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,5/2/2015 15:22
1010489,Carrboro Farmers' Market,http://www.carrborofarmersmarket.com,https://www.facebook.com/carrborofarmersmarket,,,,301 West Main Street,Carrboro,Orange,North Carolina,27510,04/05/2014 to 10/25/2014,Sat: 7:00 AM-12:00 PM;,11/01/2014 to 03/28/2015,Sat: 9:00 AM-12:00 PM;,04/09/2014 to 11/19/2014,Wed: 3:00 PM-6:00 PM;,,,-79.0777245,35.9113895,,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,6/15/2015 16:05
1001607,Cary Downtown Farmers Market,,,,,,Main & Vance Streets,Cary,Wake,North Carolina,27502,,,,,,,,,-78.871,35.7287,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,11/8/2012 8:10
1010564,Clayton Farm and Community Market,http://www.cfcmnc.org,https://www.facebook.com/CFCMNC,https://www.twitter.com/ClaytonFarmMkt,,,348 E. Main Street,Clayton ,Johnston,North Carolina,27528,04/05/2014 to 10/25/2014,Sat: 9:00 AM-1:00 PM;,11/08/2014 to 03/28/2015,Sat: 10:00 AM-1:00 PM;,04/04/2015 to 10/31/2015,Sat: 9:00 AM-1:00 PM;,,,-78.4571444,35.651006,,N,N,N,N,N,-,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,8/28/2014 18:24
1010872,Duke Farmers Market,http://www.hr.duke.edu/benefits/wellness/farmers/index.php,,,,,"Research Drive, Duke University Medical Center Campus",Durham,Durham,North Carolina,27708,04/24/2015 to 09/25/2015,Fri: 11:00 AM-2:00 PM;,,,,,,,-78.939226,36.005437,,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,3/2/2015 9:48
1009697,Duke Farmers Market at Duke Regional Hospital,,,,,,3643 N. Roxboro Rd.,Durham ,Durham,North Carolina,27704,05/06/2014 to 09/30/2014,Tue: 3:00 PM-6:00 PM;,,,,,,,-78.89999,36.035963,Healthcare Institution,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,4/1/2014 9:29
1001873,Duke Mobile Farmers Market,http://www.hr.duke.edu/mobilemarket/,,,,,The Sarah P. Duke Gardens on Anderson Drive,Durham,Durham,North Carolina,27710,04/08/2014 to 09/30/2014,Tue: 4:00 PM-6:00 PM;,,,,,,,-78.9320532,35.9946843,Healthcare Institution,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,4/1/2014 9:11
1000312,Durham Farmers' Market,http://www.durhamfarmersmarket.com,https://www.facebook.com/durhamfarmersmarketnc,https://twitter.com/DurhamFarmerMkt,,http://instagram.com/durhamfarmersmarket/,501 Foster Street,Durham,Durham,North Carolina,27701,04/04/2015 to 11/21/2015,Sat: 8:00 AM-12:00 PM;,12/05/2015 to 03/26/2016,Sat: 10:00 AM-12:00 PM;,04/15/2015 to 10/14/2015,Wed: 3:30 PM-6:30 PM;,,,-78.901856,36.000559,,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,3/19/2015 13:41
1000175,Eno River Farmers Market in Downtown Hillsborough,http://www.enoriverfarmersmarket.com,https://www.facebook.com/pages/Eno-River-Farmers-Market-in-Downtown-Hillsborough/101203182263,https://twitter.com/EnoRiverFM,,Pinterest: Eno River Farmers Market,144 E. Margaret Lane,Hillsborough,Orange,North Carolina,27278,04/04/2015 to 10/31/2015,Sat: 8:00 AM-12:00 PM;,11/07/2015 to 03/26/2016,Sat: 10:00 AM-12:00 PM;,,,,,-79.097775,36.074025,,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,3/19/2015 11:55
1010414,Farmers Market in the Holly Springs Village District,http://www.hsfarmersmarket.com,holly springs farmers market,hsfarmersmarket,,,S. Main Street Public Parking Lot,Holly Springs ,Wake,North Carolina,27540,05/02/2015 to 10/10/2015,Sat: 8:30 AM-12:30 PM;,03/01/2015 to ,Sat: 10:00 AM-12:00 PM;,,,,,-78.8336218,35.6512655,,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,4/9/2015 10:54
1006832,Growers Market of Fuquay-Varina,http://www.Growers-Market.org,,,,,102 N. Main St.,Fuquay-Varina,Wake,North Carolina,27526,April to October,Wed:3:00 pm - 6:00 pm;Sat:9:00 am - 2:00 pm;,,,,,,,-78.7993,35.5846,Local government building grounds,Y,N,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/3/2011 9:37
1010375,Hillsborough Farmers Market,http://www.hillsboroughfarmersmarket.org,https://www.facebook.com/HillsboroughFarmersMarket,@HFMLocalGrown,,,Hampton Pointe,Hillsborough,Orange,North Carolina,27278,01/01/2014 to 12/31/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-79.080725,36.05545,Private business parking lot,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,8/3/2014 13:01
1004327,Johnston County Produce Market,,,,,,"1410 S. Brightleaf Blvd., (Hwy 301)",Smithfield,Johnston,North Carolina,27577,,,,,,,,,-78.3464,35.5023,,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1000204,Midtown Farmers' Market,http://www.midtownfarmers.com,https://www.facebook.com/MidtownFarmersMarketRaleigh,https://twitter.com/MidtownFarmers,,,4160 Main at North HIlls,Raleigh,Wake,North Carolina,27609,04/19/2014 to 11/01/2014,Sat: 8:00 AM-12:00 PM;,,,,,,,-78.6426103,35.8373038,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,5/19/2014 10:28
1003822,Moore Square Farmers Market,http://www.raleigheatlocal.com,https://www.facebook.com/RaleighEatLocal,https://twitter.com/RaleighEatLocal,,,500 Block Fayetteville St.,Raleigh,Wake,North Carolina,27601,04/24/2013 to 10/30/2013,Wed: 10:00 AM-2:00 PM;,,,,,,,-78.6399375,35.773554,Closed-off public street,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,5/13/2014 10:39
